Flat profile:

Each sample counts as 0.01 seconds.
 no time accumulated

  %   cumulative   self              self     total           
 time   seconds   seconds    calls  Ts/call  Ts/call  name    
  0.00      0.00     0.00     1258     0.00     0.00  std::enable_if<std::allocator_traits<std::allocator<Vec3<float> > >::__construct_helper<Vec3<float>, Vec3<float> const&>::value, void>::type std::allocator_traits<std::allocator<Vec3<float> > >::_S_construct<Vec3<float>, Vec3<float> const&>(std::allocator<Vec3<float> >&, Vec3<float>*, Vec3<float> const&)
  0.00      0.00     0.00     1258     0.00     0.00  _ZNSt16allocator_traitsISaI4Vec3IfEEE9constructIS1_IRKS1_EEEDTcl12_S_constructfp_fp0_spcl7forwardIT0_Efp1_EEERS2_PT_DpOS7_
  0.00      0.00     0.00     1258     0.00     0.00  std::vector<Vec3<float>, std::allocator<Vec3<float> > >::push_back(Vec3<float> const&)
  0.00      0.00     0.00       61     0.00     0.00  std::vector<Vec3<float>, std::allocator<Vec3<float> > >::size() const
  0.00      0.00     0.00       39     0.00     0.00  __gnu_cxx::new_allocator<std::vector<int, std::allocator<int> > >::max_size() const
  0.00      0.00     0.00       36     0.00     0.00  __gnu_cxx::new_allocator<Vec3<float> >::max_size() const
  0.00      0.00     0.00       27     0.00     0.00  std::_Vector_base<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > >::_M_get_Tp_allocator()
  0.00      0.00     0.00       26     0.00     0.00  std::_Vector_base<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > >::_M_get_Tp_allocator() const
  0.00      0.00     0.00       26     0.00     0.00  std::vector<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > >::max_size() const
  0.00      0.00     0.00       26     0.00     0.00  std::move_iterator<std::vector<int, std::allocator<int> >*>::move_iterator(std::vector<int, std::allocator<int> >*)
